Instance,Size,BKS_Fitness,BKS_Distance,BKS_Vehicles,Memetic_Fitness,Memetic_Distance,Memetic_Vehicles,Memetic_TimeToFinal,Memetic_IsFeasible,ORTools_Fitness,ORTools_Distance,ORTools_Vehicles,ORTools_IsFeasible
lr207,100,975.24,903.0,2,1071.203693715632,956.4318693889571,3,110.47833681106567,True,1252.3816056827013,1079.639315243708,4,True
lr208,100,793.8000000000001,735.0,2,808.0030290160886,748.1509527926746,2,184.168315410614,True,1014.3365835321865,905.6576638680236,3,True
lr209,100,1042.72,931.0,3,1164.8312166331266,1004.1648419251092,4,96.33701992034912,True,1167.2012757294297,1006.207996318474,4,True
lr210,100,1079.68,964.0,3,1158.6763588831382,1034.532463288516,3,110.46808934211731,True,1132.6079246951351,1011.2570756206562,3,True
lr211,100,984.96,912.0,2,1034.1384651276296,923.3379152925263,3,140.63627314567566,True,1250.7828117525903,1116.7703676362412,3,True
lrc101,100,2666.04,1709.0,14,2744.304013826096,1715.1900086413098,15,139.06321787834167,True,2868.4030005386703,1749.0262198406526,16,True
lrc102,100,2305.84,1558.0,12,2545.739640988605,1631.884385249106,14,120.56156206130981,True,2898.0469102170637,1767.1017745225997,16,True
lrc103,100,1812.96,1259.0,11,1812.5814501625084,1258.7371181684086,11,27.37964415550232,True,2181.5722599276482,1435.244907847137,13,True
lrc104,100,1579.1999999999998,1128.0,10,1579.7616391067781,1128.4011707905559,10,138.47158241271973,True,1685.692725267466,1170.6199481024069,11,True
lrc105,100,2489.76,1638.0,13,2624.471651019629,1682.35362244848,14,31.039485692977905,True,2927.984643024195,1829.9904018901218,15,True
lrc106,100,2052.0,1425.0,11,2318.9962652367194,1525.6554376557365,13,128.62886595726013,True,2496.0775116756695,1600.049686971583,14,True
lrc107,100,1771.2,1230.0,11,1893.5747745436981,1279.4424152322285,12,26.742144346237183,True,1903.172184115809,1285.9271514296006,12,True
lrc108,100,1605.8,1147.0,10,1679.9539942311856,1166.6347182161012,11,116.89910221099854,True,1924.8719119417697,1300.5891296903849,12,True
lrc201,100,1632.12,1407.0,4,1727.5985016273828,1439.665418022819,5,94.24849128723145,True,1789.8138025091362,1491.5115020909468,5,True
lrc202,100,1538.88,1374.0,3,1645.5279526973322,1418.5585799114933,4,233.41767168045044,True,1988.4801306274512,1603.6130085705252,6,True
lrc203,100,1219.68,1089.0,3,1342.3913630896293,1157.2339336979564,4,101.13844442367554,True,1593.8905493685365,1374.043577041842,4,True
lrc204,100,917.2800000000001,819.0,3,925.6614160525996,826.483407189821,3,176.06002640724182,True,924.7948317608771,825.7096712150687,3,True
lrc205,100,1510.32,1302.0,4,1573.408522586699,1356.3866574023268,4,233.7701756954193,True,1675.7603997258043,1396.4669997715037,5,True
lrc206,100,1298.0800000000002,1159.0,3,1311.505220972849,1170.9868044400437,3,176.448872089386,True,1564.6554630593075,1348.8409164304376,4,True
lrc207,100,1189.44,1062.0,3,1199.909544237824,1071.3478073552,3,129.27468538284302,True,1543.244328091133,1286.0369400759441,5,True
lrc208,100,955.3600000000001,853.0,3,1078.6274557564195,929.8512549624306,4,164.63443279266357,True,1197.0104604560522,1031.9055693586658,4,True
bar-n100-1,100,990.3529411764706,732.0,6,1048.5294117647059,775.0,6,106.05736660957336,True,1170.3529411764705,829.0,7,True
bar-n100-2,100,707.8888888888888,554.0,5,772.0,579.0,6,188.42618584632874,True,797.3333333333333,598.0,6,True
bar-n100-3,100,1009.2941176470589,746.0,6,1089.1176470588236,805.0,6,165.82563734054565,True,1218.3529411764705,863.0,7,True
bar-n100-4,100,2070.0,1150.0,12,2180.266666666667,1168.0,13,123.21765685081482,True,2454.0,1227.0,15,True
bar-n100-5,100,1102.6315789473686,838.0,6,1194.6315789473686,873.0,7,188.31322479248047,True,1300.0,950.0,7,True
bar-n100-6,100,935.75,788.0,3,1031.25,825.0,4,232.70111536979675,True,1045.0,836.0,4,True
ber-n100-1,100,3271.7647058823527,1854.0,13,3477.470588235294,1907.0,14,151.66727375984192,True,3629.176470588235,1928.0,15,True
ber-n100-2,100,2007.7647058823532,1484.0,6,2224.941176470588,1576.0,7,202.19476580619812,True,2295.529411764706,1626.0,7,True
ber-n100-3,100,814.8571428571428,713.0,3,828.5714285714286,696.0,4,162.0933654308319,True,838.1904761904763,677.0,5,True
ber-n100-4,100,572.0,494.0,3,620.6315789473684,536.0,3,147.7510974407196,True,691.2105263157895,571.0,4,True
ber-n100-5,100,1206.2222222222222,944.0,5,1233.0555555555554,965.0,5,133.13713383674622,True,1227.9444444444443,961.0,5,True
ber-n100-6,100,4090.9333333333334,2116.0,14,13311.2,1996.0,15,169.03481888771057,False,,,,False
ber-n100-7,100,2647.8947368421054,1935.0,7,2823.6315789473683,1987.0,8,134.33730149269104,True,3063.7894736842104,2156.0,8,True
nyc-n100-1,100,979.8181818181818,634.0,6,1052.4545454545455,681.0,6,213.25363492965698,True,1086.5454545454545,664.0,7,True
nyc-n100-2,100,767.7272727272727,563.0,4,848.1818181818182,622.0,4,125.69434356689453,True,885.8181818181819,609.0,5,True
nyc-n100-3,100,637.0,490.0,3,646.8,462.0,4,77.37674832344055,True,749.0,535.0,4,True
nyc-n100-4,100,624.1666666666667,535.0,2,706.25,565.0,3,229.87216591835022,True,780.0,624.0,3,True
nyc-n100-5,100,790.6363636363636,669.0,2,870.5454545454545,684.0,3,233.2850170135498,True,889.6363636363636,699.0,3,True
poa-n100-1,100,2698.7058823529414,1582.0,12,2947.0588235294117,1670.0,13,185.59002947807312,True,3178.4117647058824,1743.0,14,True
poa-n100-2,100,2981.8125,1539.0,15,3206.0,1603.0,16,163.83082175254822,True,,,,False
poa-n100-3,100,1970.4736842105262,1291.0,10,2095.2631578947367,1327.0,11,158.68425130844116,True,2276.0526315789475,1395.0,12,True
poa-n100-4,100,2262.0,1653.0,7,2328.4210526315787,1580.0,9,80.27893137931824,True,2512.315789473684,1646.0,10,True
poa-n100-5,100,844.2352941176471,624.0,6,933.1764705882352,661.0,7,137.77785301208496,True,927.5294117647057,657.0,7,True
poa-n100-6,100,655.6666666666667,562.0,3,680.1666666666667,583.0,3,194.81019139289856,True,724.5,621.0,3,True
poa-n100-7,100,999.0588235294118,772.0,5,1009.2941176470589,746.0,6,179.7501449584961,True,1092.705882352941,774.0,7,True
LC1_2_1,200,3786.9999999999995,2705.0,20,3786.3948728626624,2704.567766330473,20,43.1059787273407,True,3786.394872862663,2704.5677663304737,20,True
LC1_2_2,200,3815.7,2765.0,19,3821.9727027885033,2769.5454368032633,19,207.19853615760803,True,3821.9727027885037,2769.545436803264,19,True
LC1_2_3,200,4191.52,3128.0,17,4030.4407421392416,2920.6092334342334,19,155.21264696121216,True,3996.7246467518403,2938.7681226116474,18,True
LC1_2_4,200,3608.6200000000003,2693.0,17,3806.498043182447,2798.8956199870936,18,207.45063710212708,True,4161.71926385271,3060.087694009346,18,True
LC1_2_5,200,3782.7999999999997,2702.0,20,4065.3716078249727,2862.9377519894174,21,51.579625368118286,True,3782.868271758268,2702.04876554162,20,True
LC1_2_6,200,3781.3999999999996,2701.0,20,3781.4495434217356,2701.035388158383,20,47.28199625015259,True,3781.4495434217365,2701.0353881583833,20,True
LC1_2_7,200,3781.3999999999996,2701.0,20,3781.4495434217365,2701.0353881583833,20,70.28317499160767,True,4072.7682292136333,2868.146640291291,21,True
LC1_2_8,200,4628.5199999999995,3354.0,19,4205.5407077871105,2961.648385765571,21,162.97976422309875,True,3807.1307971724705,2719.379140837479,20,True
LC1_2_9,200,3704.64,2724.0,18,4081.343796320504,2957.4955045800757,19,49.965009450912476,True,4092.7151753684507,2965.7356343249644,19,True
LC1_2_10,200,3942.28,2942.0,17,4091.732627082227,2965.023642813208,19,179.9088442325592,True,4575.464858469965,3268.189184621404,20,True
LC2_2_1,200,2162.7200000000003,1931.0,6,2163.2156032919056,1931.4425029392014,6,364.2031629085541,True,2163.215603291906,1931.4425029392019,6,True
LC2_2_2,200,2106.7200000000003,1881.0,6,2241.057186562438,1965.8396373354717,7,183.77795696258545,True,2233.7441459423753,1994.4144160199776,6,True
LC2_2_3,200,2065.28,1844.0,6,2268.0174476230945,1989.4889891430653,7,146.90205216407776,True,2329.96548355429,2043.8293715388506,7,True
LC2_2_4,200,1979.0400000000002,1767.0,6,2340.6048852651315,2053.162180057133,7,160.7393901348114,True,2384.704897057032,2091.846400927221,7,True
LC2_2_5,200,2117.92,1891.0,6,2118.1540742294756,1891.208994847746,6,151.90709733963013,True,2455.4269654473187,2116.7473840063094,8,True
LC2_2_6,200,2080.96,1858.0,6,2088.028908672898,1864.3115256008016,6,202.36980390548706,True,2080.7104678783758,1857.7772034628351,6,True
LC2_2_7,200,2072.0,1850.0,6,2179.501623053963,1911.8435289947042,7,137.5885305404663,True,2240.9216407292297,1965.7207374817804,7,True
LC2_2_8,200,2042.88,1824.0,6,2095.947638829772,1871.381820383725,6,338.9522817134857,True,2297.6866532674508,2015.5146081293426,7,True
LC2_2_9,200,2076.48,1854.0,6,2228.854028723259,1955.1351129151394,7,304.9166626930237,True,2076.715611183753,1854.2103671283508,6,True
LC2_2_10,200,2035.0400000000002,1817.0,6,2035.54765390432,1817.4532624145713,6,148.552392244339,True,2269.4614327894997,1990.7556427978066,7,True
LR1_2_1,200,6746.599999999999,4819.0,20,6937.315695474788,4885.433588362527,21,57.48060321807861,True,6951.664883867056,4895.538650610603,21,True
LR1_2_2,200,6192.14,4621.0,17,5648.415199318538,4093.05449225981,19,48.644076347351074,True,6041.259363393833,4377.724176372343,19,True
LR1_2_3,200,5634.56,4402.0,14,4985.951868075575,3666.1410794673347,18,70.67550253868103,True,5530.044018877121,4126.89852155009,17,True
LR1_2_4,200,3632.4,3027.0,10,3685.59301216769,2925.0738191807063,13,189.2731053829193,True,3860.363791750282,3063.7807871033983,13,True
LR1_2_5,200,6283.200000000001,4760.0,16,6016.547193288954,4359.816806731126,19,56.979755878448486,True,5861.829179285566,4310.168514180564,18,True
LR1_2_6,200,6049.26,4801.0,13,5309.0302873553455,3961.9629010114513,17,75.85006904602051,True,5737.5191682476925,4218.764094299774,18,True
LR1_2_7,200,4393.32,3543.0,12,4453.3221441604655,3323.3747344481085,17,66.83511209487915,True,4623.0857728634355,3611.785760049559,14,True
LR1_2_8,200,3255.62,2759.0,9,3535.460626462577,2851.1779245665944,12,58.994688272476196,True,3675.5082693474155,3012.7116961864062,11,True
LR1_2_9,200,6364.26,5051.0,13,5733.164108005047,4278.480677615707,17,57.37460422515869,True,5936.891615134951,4430.516130697724,17,True
LR1_2_10,200,4470.08,3664.0,11,4668.497500505651,3647.26367227004,14,87.36414694786072,True,35374.607850405824,3785.965577174684,15,False
LR2_2_1,200,4480.3,4073.0,5,4610.135284882276,4191.032077165705,5,594.7641680240631,True,5007.661842070503,4392.685826377633,7,True
LR2_2_2,200,4099.68,3796.0,4,4424.220645137023,3950.1970045866274,6,696.337525844574,True,4488.693617566596,4080.630561424178,5,True
LR2_2_3,200,3345.84,3098.0,4,3814.226455927644,3467.478596297858,5,500.7761378288269,True,3669.407672539659,3335.825156854235,5,True
LR2_2_4,200,2635.1600000000003,2486.0,3,2292.083440691053,2122.299482121345,4,948.4301376342773,True,2997.59438201403,2775.550353716694,4,True
LR2_2_5,200,3713.0400000000004,3438.0,4,3775.6403925240224,3495.9633264111317,4,821.9238593578339,True,3723.2948016550067,3447.4951867175987,4,True
LR2_2_6,200,4725.4800000000005,4458.0,3,3791.3901360274317,3510.5464222476216,4,631.1708173751831,True,4593.753956020585,4176.139960018713,5,True
LR2_2_7,200,3283.88,3098.0,3,2909.941898922767,2694.39064715071,4,1223.8604221343994,True,3067.6824244959666,2840.446689348117,4,True
LR2_2_8,200,2546.96,2449.0,2,2295.7270040427848,2125.673151891467,4,1357.1082246303558,True,2603.525475455862,2410.671736533205,4,True
LR2_2_9,200,4157.320000000001,3922.0,3,3495.2123131265903,3236.3076973394354,4,564.3370714187622,True,4309.150404126407,3917.409458296733,5,True
LR2_2_10,200,3450.3,3255.0,3,3126.357350984987,2894.775324986099,4,846.4633932113647,True,4260.986179264579,3873.623799331435,5,True
LRC1_2_1,200,4976.28,3606.0,19,5225.542524800805,3786.625017971598,19,47.458553075790405,True,5490.369436460074,3921.692454614339,20,True
LRC1_2_2,200,4772.3,3671.0,15,4607.470957354423,3387.8462921723703,18,187.72395873069763,True,4722.409558785765,3422.035912163598,19,True
LRC1_2_3,200,3975.3,3155.0,13,4497.017668897066,3355.9833349978103,17,184.34110045433044,True,4660.886729761378,3478.273678926401,17,True
LRC1_2_4,200,3158.4,2632.0,10,3620.169726628916,2828.2575989288407,14,58.2769091129303,True,3518.0734057598434,2837.1559723869705,12,True
LRC1_2_5,200,4905.12,3716.0,16,5370.781825712554,3949.104283612172,18,168.77905440330505,True,6265.977181404593,4412.659986904643,21,True
LRC1_2_6,200,4715.04,3572.0,16,4816.8742362212315,3541.819291339141,18,219.88556003570557,True,4754.518854363562,3548.1483987787774,17,True
LRC1_2_7,200,4692.4800000000005,3666.0,14,4755.9808821854485,3549.239464317499,17,150.83785438537598,True,4982.6358818647495,3718.3849864662307,17,True
LRC1_2_8,200,3963.96,3146.0,13,4294.050737112331,3253.0687402366143,16,155.24645853042603,True,4486.4838384683735,3451.141414206441,15,True
LRC1_2_9,200,3977.82,3157.0,13,4324.370688104614,3276.038400079253,16,48.73796820640564,True,34884.26713720829,3421.8592961613235,16,False
LRC1_2_10,200,3631.96,2929.0,12,3858.7195175054803,3014.6246230511565,14,190.1855685710907,True,3889.480548477437,3038.6566784979977,14,True
LRC2_2_1,200,4026.4000000000005,3595.0,6,3430.869295634503,3009.534469854827,7,520.2806293964386,True,3552.046718738185,3062.109240291539,8,True
LRC2_2_2,200,3473.8,3158.0,5,3214.2093092226687,2819.481850195323,7,441.4164927005768,True,3662.1605701550025,3212.4215527675456,7,True
LRC2_2_3,200,3112.5600000000004,2882.0,4,3080.5174515814333,2750.462010340565,6,472.7018976211548,True,3558.6585226892776,3177.3736809725688,6,True
LRC2_2_4,200,3005.1000000000004,2835.0,3,2809.082417826705,2553.711288933368,5,400.3424530029297,True,2981.070922784338,2710.064475258489,5,True
LRC2_2_5,200,3054.7000000000003,2777.0,5,3222.564725681697,2929.6042960742698,5,295.88433289527893,True,3459.4503326988806,3088.7949399097147,6,True
LRC2_2_6,200,2978.8,2708.0,5,2985.351240271131,2713.955672973755,5,1075.9184012413025,True,3553.972881173443,3173.190072476288,6,True
LRC2_2_7,200,3251.88,3011.0,4,2974.6828358145344,2704.2571234677584,5,393.57314944267273,True,3207.3020595290022,2915.7291450263656,5,True
LRC2_2_8,200,2592.0,2400.0,4,2736.916613010948,2534.182049084211,4,585.113018989563,True,2810.0310453216803,2554.5736775651635,5,True
LRC2_2_9,200,2384.6400000000003,2208.0,4,2492.2661355136634,2307.6538291793177,4,545.7554271221161,True,2795.0228230854227,2540.929839168566,5,True
LRC2_2_10,200,2584.28,2438.0,3,2300.040035189779,2129.666699249795,4,1057.3354856967926,True,2729.9471138848908,2481.7701035317186,5,True
bar-n200-1,200,2962.3714285714286,1819.0,22,3361.714285714286,1961.0,25,157.56938076019287,True,3452.6,1981.0,26,True
bar-n200-2,200,3660.5333333333333,2072.0,23,4147.0,2262.0,25,203.57917094230652,True,4326.933333333333,2318.0,26,True
bar-n200-3,200,1915.2222222222224,1567.0,8,2136.4444444444443,1672.0,10,250.88974404335022,True,2218.138888888889,1699.0,11,True
bar-n200-4,200,1180.9032258064517,832.0,13,1329.6774193548388,916.0,14,179.5597221851349,True,1381.9354838709678,952.0,14,True
bar-n200-5,200,965.8235294117646,842.0,5,1051.8529411764705,917.0,5,294.28922629356384,True,1182.3529411764707,1005.0,6,True
bar-n200-6,200,1071.6363636363635,842.0,9,1206.6060606060605,926.0,10,105.65968585014343,True,1215.7272727272727,933.0,10,True
bar-n200-7,200,2448.5142857142855,1863.0,11,2577.3999999999996,1841.0,14,189.57944774627686,True,2710.0,1897.0,15,True
ber-n200-1,200,6394.0,3197.0,27,35498.0,3044.0,27,209.8986747264862,False,,,,False
ber-n200-2,200,4519.2,3228.0,12,5073.200000000001,3459.0,14,143.85464096069336,True,5530.733333333333,3607.0,16,True
ber-n200-3,200,1160.0,899.0,9,1290.3225806451612,1000.0,9,258.1663417816162,True,1354.8387096774195,1000.0,11,True
ber-n200-4,200,1244.787878787879,1081.0,5,1341.3636363636365,1135.0,6,239.04349541664124,True,1361.2121212121212,1123.0,7,True
ber-n200-5,200,7379.096774193549,3944.0,27,8366.838709677419,4252.0,30,63.356679916381836,True,,,,False
ber-n200-6,200,3791.542857142857,3016.0,9,4236.428571428571,3295.0,10,111.37072420120239,True,4451.571428571429,3315.0,12,True
nyc-n200-1,200,1166.375,903.0,7,1391.5,1012.0,9,114.29367089271545,True,1552.375,1129.0,9,True
nyc-n200-2,200,1483.9565217391305,1101.0,8,1742.8695652173913,1179.0,11,139.29298424720764,True,1788.695652173913,1210.0,11,True
nyc-n200-3,200,1291.8181818181818,980.0,7,1472.5,1045.0,9,163.08214116096497,True,1605.8181818181818,1104.0,10,True
nyc-n200-4,200,1189.0,1025.0,4,1336.32,1152.0,4,397.21048164367676,True,1392.0,1160.0,5,True
nyc-n200-5,200,1427.0416666666665,1181.0,5,1596.25,1277.0,6,358.813321352005,True,1640.0,1312.0,6,True
poa-n200-1,200,4263.878787878788,2426.0,25,4715.484848484849,2551.0,28,199.06649947166443,True,4913.030303030303,2615.0,29,True
poa-n200-2,200,3200.891891891892,2417.0,12,3678.891891891892,2669.0,14,194.70232391357422,True,3848.0,2738.0,15,True
poa-n200-3,200,2907.0000000000005,1836.0,21,3259.75,1989.0,23,139.2260935306549,True,3356.6666666666665,2014.0,24,True
poa-n200-4,200,1526.4375,1163.0,10,1754.9375,1306.0,11,59.08955144882202,True,1750.375,1273.0,12,True
poa-n200-5,200,3374.5454545454545,2320.0,15,3903.030303030303,2576.0,17,48.64992904663086,True,4236.090909090909,2741.0,18,True
poa-n200-6,200,5549.885714285714,3133.0,27,6130.457142857143,3251.0,31,181.17054796218872,True,6273.4857142857145,3229.0,33,True
poa-n200-7,200,3300.0,2550.0,10,3790.9411764705883,2802.0,12,208.4027078151703,True,3925.8823529411766,2840.0,13,True
LC1_4_1,400,10012.8,7152.0,40,10755.939495752136,7574.605278698688,42,190.0675585269928,True,10012.879213938442,7152.0565813846015,40,True
LC1_4_2,400,11051.039999999999,8008.0,38,11053.879543647095,7784.422213835984,42,87.3211510181427,True,10382.318828852412,7415.942020608866,40,True
LC1_4_3,400,11454.960000000001,8678.0,32,11281.469475444814,8116.165090248067,39,244.22638058662415,True,10472.183242752059,7643.9293742715745,37,True
LC1_4_4,400,,,,10528.533014124592,7857.114189645218,34,172.51277017593384,True,9416.75747822074,7027.430953896074,34,True
LC1_4_5,400,10010.0,7150.0,40,10578.690612088147,7449.782121188836,42,187.88551115989685,True,10009.994696524853,7149.996211803466,40,True
LC1_4_6,400,10015.599999999999,7154.0,40,11238.600142930956,7859.160939112558,43,246.69655632972717,True,10015.622308973625,7154.015934981161,40,True
LC1_4_7,400,10008.599999999999,7149.0,40,10658.167839171409,7558.984283100291,41,172.729327917099,True,10009.208275555862,7149.434482539902,40,True
LC1_4_8,400,11460.9,8305.0,38,11874.391463693724,8362.247509643468,42,232.00979828834534,True,11550.523412295188,8134.171417109287,42,True
LC1_4_9,400,10133.359999999999,7451.0,36,12305.102602514016,8789.359001795727,40,226.07047390937805,True,12375.15414379825,8776.705066523582,41,True
LC1_4_10,400,10519.0,7850.0,34,12316.803103360406,8797.71650240029,40,191.01036071777344,True,11753.900372943244,8456.043433772118,39,True
LC2_4_1,400,4609.92,4116.0,12,4610.288605538416,4116.329112087871,12,408.6863980293274,True,4610.288605538416,4116.329112087871,12,True
LC2_4_2,400,4641.280000000001,4144.0,12,5031.598249554607,4413.6826750479,14,655.857901096344,True,5229.722440432439,4547.584730810817,15,True
