Combination_ID,Combination_Name,Selection_Idx,Crossover_Idx,Mutation_Idx,LocalSearch_Idx,Instance,BKS_Fitness,BKS_Vehicles,BKS_Distance,Avg_Fitness,Std_Fitness,Avg_Vehicles,Std_Vehicles,Avg_Distance,Std_Distance,Feasibility_Rate,Avg_Total_Time,Std_Total_Time,Avg_Time_To_Best,Std_Time_To_Best,Avg_Num_Improvements,Std_Num_Improvements,Avg_Longest_Stagnation,Std_Longest_Stagnation
combo_2,No_LocalSearch,1,1,0,0,lr207,975.24,2,903.0,15601.734890033129,298.7539221411694,13.333333333333334,1.699673171197595,3390.6149144559786,118.58232152008065,0.0,60.01175832748413,0.0013296651395522637,40.279582818349205,5.921491815442536,7.333333333333333,2.0548046676563256,29.596417903900146,8.74784040278796
combo_2,No_LocalSearch,1,1,0,0,lr208,793.8000000000001,2,735.0,5528.650404803324,104.88333326222026,16.333333333333332,0.9428090415820634,3344.3227846159753,26.59768829730046,1.0,60.00964037577311,0.00045743180757963685,10.348394393920898,6.482322721663143,4.666666666666667,1.699673171197595,49.660212914148964,6.482131687156887
combo_2,No_LocalSearch,1,1,0,0,lr209,1042.72,3,931.0,19778.517025824844,333.1739473463546,16.0,1.632993161855452,3277.59433487316,41.94704425792697,0.0,60.00806109110514,0.001455220062353759,47.73670268058777,1.4181696847781107,9.666666666666666,2.357022603955158,38.85527157783508,7.403078115165671
combo_2,No_LocalSearch,1,1,0,0,lr210,1079.68,3,964.0,21735.966089960097,326.126524023789,16.666666666666668,1.699673171197595,3458.777281569255,107.47417755609379,0.0,60.01027758916219,0.001005454508247203,19.64880625406901,18.685441127006698,7.333333333333333,2.0548046676563256,44.19149128595988,13.489628081074454
combo_2,No_LocalSearch,1,1,0,0,lr211,984.96,2,912.0,14742.356696052002,463.560081976982,15.0,1.4142135623730951,3248.6616643520006,110.53744283591432,0.0,60.008754889170326,0.002222753941145496,37.602256059646606,19.558431176819514,11.333333333333334,2.8674417556808756,36.374513467152916,12.947616094120043
combo_2,No_LocalSearch,1,1,0,0,lrc101,2666.04,14,1709.0,58556.80902575817,722.0697950213527,8.0,0.816496580927726,4248.875667673189,277.5038711926564,0.0,60.00863456726074,0.001648257572651671,26.659722248713177,3.6155316630082894,8.333333333333334,0.9428090415820634,33.34761039415995,3.616202790382387
combo_2,No_LocalSearch,1,1,0,0,lrc102,2305.84,12,1558.0,56330.681426443945,105.94513271729325,6.666666666666667,0.4714045207910317,4498.840841416952,221.64114068997907,0.0,60.012796560923256,0.002764750285460929,38.635395526885986,15.727232447641681,7.333333333333333,1.247219128924647,34.1177020072937,4.74998536380416
combo_2,No_LocalSearch,1,1,0,0,lrc103,1812.96,11,1259.0,51564.55561210786,936.1115418878707,15.0,2.943920288775949,4041.103133834428,211.53579526355196,0.0,60.0122484366099,0.0010206812209427596,46.32420992851257,10.782548847779236,7.666666666666667,0.9428090415820634,28.483943541844685,7.295744053490087
combo_2,No_LocalSearch,1,1,0,0,lrc104,1579.1999999999998,10,1128.0,50960.83431554958,464.69136948377303,16.666666666666668,3.7712361663282534,4232.436968110977,177.2700525861926,0.0,60.0091769695282,0.0020897436831009033,21.43040943145752,10.385443266268883,6.0,1.4142135623730951,38.576984564463295,10.38554954474498
combo_2,No_LocalSearch,1,1,0,0,lrc105,2489.76,13,1638.0,59387.17352542417,616.5572499260451,9.666666666666666,2.494438257849294,4406.285469504458,280.50123287249585,0.0,60.007577657699585,0.0003927109848309196,50.86983195940653,6.211149855410093,7.0,0.816496580927726,35.56545662879944,15.949241477047035
combo_2,No_LocalSearch,1,1,0,0,lrc106,2052.0,11,1425.0,56271.87748019531,469.63267281812466,10.333333333333334,1.247219128924647,4362.846890926051,50.12263475076274,0.0,60.010475953420006,0.001722777274740744,18.790199995040894,14.679421811746533,5.333333333333333,2.6246692913372702,41.44041530291239,14.405106963715628
combo_2,No_LocalSearch,1,1,0,0,lrc107,1771.2,11,1230.0,52657.205650982105,333.32645120646765,16.333333333333332,2.3570226039551585,4093.7661634583214,223.28294151130063,0.0,60.01069903373718,0.0022221888643957715,10.386797428131104,7.277483547293707,7.0,2.160246899469287,49.62259888648987,7.279478994026498
combo_2,No_LocalSearch,1,1,0,0,lrc108,1605.8,10,1147.0,45624.89317804846,2384.503846327833,17.666666666666668,1.699673171197595,3795.5517314512304,129.71882699131183,0.0,60.011191527048744,0.0012215651684084605,34.99173887570699,17.353589727174594,8.333333333333334,0.4714045207910317,35.99040381113688,4.5792238205838665
combo_2,No_LocalSearch,1,1,0,0,lrc201,1632.12,4,1407.0,40409.435995340624,839.0086177979466,16.0,0.816496580927726,4672.975131748564,132.45603846531682,0.0,60.010312716166176,0.0013377941223913085,35.54354135195414,12.650376856688444,9.333333333333334,2.357022603955158,30.813228607177734,4.687799063803761
combo_2,No_LocalSearch,1,1,0,0,lrc202,1538.88,3,1374.0,34383.446388302844,1237.291003257265,15.666666666666666,2.0548046676563256,4264.644907828871,150.3519548586413,0.0,60.008424043655396,0.0010785462739465845,15.560441414515177,10.78387559212776,9.666666666666666,2.8674417556808756,44.44665400187174,10.784633713084693
combo_2,No_LocalSearch,1,1,0,0,lrc203,1219.68,3,1089.0,26502.811806355097,314.3994903374625,16.333333333333332,1.247219128924647,4283.47939084284,49.21470751191244,0.0,60.018503745396934,0.0027119369904198367,32.417098919550575,16.843480462130067,8.666666666666666,1.247219128924647,30.716325759887695,13.283009988104595
combo_2,No_LocalSearch,1,1,0,0,lrc204,917.2800000000001,3,819.0,19479.502095768752,69.81797806333935,13.666666666666666,0.4714045207910317,4293.266646666525,177.4494249135225,0.0,60.01303791999817,0.001112644053381592,31.257773955663044,2.234219173493387,10.0,1.4142135623730951,28.75340787569682,2.232958632747031
combo_2,No_LocalSearch,1,1,0,0,lrc205,1510.32,4,1302.0,36278.20142878938,653.6291527769616,14.666666666666666,1.247219128924647,4441.650573951183,147.47954385772178,0.0,60.01248153050741,0.0014164324157949566,18.453577677408855,4.922028630246282,9.666666666666666,1.699673171197595,41.55719908078512,4.92294629415228
combo_2,No_LocalSearch,1,1,0,0,lrc206,1298.0800000000002,3,1159.0,33516.450412491424,1082.4328456330097,19.333333333333332,2.8674417556808756,4461.997835066731,129.17253743850276,0.0,60.0101044178009,0.0016202532774875931,19.305837233861286,6.812467293276944,7.0,1.4142135623730951,40.70250209172567,6.8139325067433285
combo_2,No_LocalSearch,1,1,0,0,lrc207,1189.44,3,1062.0,28369.208655109807,658.492661620502,16.333333333333332,1.699673171197595,4618.913965681655,147.90486920725445,0.0,60.00927726427714,0.0006791553532397354,17.95144232114156,13.37459439485882,9.0,1.4142135623730951,42.056182305018105,13.37506252594399
combo_2,No_LocalSearch,1,1,0,0,lrc208,955.3600000000001,3,853.0,20662.933182952536,366.79317622052315,15.333333333333334,0.9428090415820634,4466.542942919142,272.77349729114025,0.0,60.0109289487203,0.0012222156233798577,29.580767393112183,14.453451977923162,7.0,2.160246899469287,33.63030083974203,9.924750221543391
combo_2,No_LocalSearch,1,1,0,0,bar-n100-1,990.3529411764706,6,732.0,11772.913725490196,269.2486264068799,14.333333333333334,0.4714045207910317,1375.6666666666667,11.115554667022044,0.0,60.01001294453939,0.001357164645113243,46.042584339777626,14.471303339639427,9.0,0.816496580927726,32.156702518463135,5.95526202783722
combo_2,No_LocalSearch,1,1,0,0,bar-n100-2,707.8888888888888,5,554.0,14015.27777777778,238.18996793115684,13.666666666666666,0.4714045207910317,1223.0,26.993826454703797,0.0,60.00897550582886,0.000596481577672793,53.98162190119425,4.194681400384654,6.0,0.816496580927726,27.174674828847248,6.954106718492558
